Tipo,Modelo,Estratégia,F1-Macro,Acurácia,Tempo Médio (s),Amostras
ML Supervisionado,LogisticRegression,Otimizado (AutoML),1.0,1.0,3.363854355282254e-05,144
ML Supervisionado,SVM,Otimizado (AutoML),1.0,1.0,4.0552682346767855e-05,144
ML Supervisionado,NaiveBayes,Otimizado (AutoML),0.9930525401650022,0.9930555555555556,3.745324081844754e-05,144
ML Supervisionado,FastText,Otimizado (AutoML),0.9721375074852636,0.9722222222222222,1.3697478506300187e-05,144
LLM (GenAI),gemini-2.5-flash-lite,meta_prompt_classificacao,0.6517769433936316,0.7611111111111111,2.2360031492180292,720
LLM (GenAI),gemini-2.5-flash-lite,zero_shot_direto,0.6419869898123668,0.7430555555555556,0.5906081504291958,720
LLM (GenAI),gemini-2.5-flash-lite,few_shot_completo,0.6318419151896381,0.75,0.643769257598453,720
LLM (GenAI),gemini-2.5-flash-lite,zero_shot_cot,0.6303394229385774,0.7291666666666666,0.8915969762537215,720
LLM (GenAI),gpt-5-nano,meta_prompt_classificacao,0.6153459176703393,0.7166666666666667,9.1037862688303,720
LLM (GenAI),gpt-5-nano,zero_shot_direto,0.6085931025690062,0.7138888888888889,3.302059746450848,720
LLM (GenAI),gpt-5-nano,zero_shot_cot,0.6026673166580031,0.7083333333333334,7.084474197692341,720
LLM (GenAI),gpt-5-nano,few_shot_completo,0.5830463782929142,0.6861111111111111,3.273250165250566,720
LLM (GenAI),llama-3.1-8b-instant,zero_shot_direto,0.5734635510145714,0.7027777777777777,0.3980861398908827,720
LLM (GenAI),llama-3.1-8b-instant,few_shot_completo,0.47506449727606337,0.675,0.4751660598648919,720
LLM (GenAI),llama-3.1-8b-instant,zero_shot_cot,0.47383204480939245,0.6611111111111111,0.636109290851487,720
LLM (GenAI),llama-3.1-8b-instant,meta_prompt_classificacao,0.45613786115535704,0.6375,0.4390712555911806,720
